,Mobile_name,Processor,Storage,Screen_Length,Camera,Battery,Warranty,Rating & Reviews, Discount
742,"APPLE iPhone 11 (White, 64 GB)",15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,"4.61,66,952 Ratings & 9,935 Reviews",6% off
743,"APPLE iPhone 13 (Pink, 128 GB)",12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,"4.71,58,288 Ratings & 8,584 Reviews",5% off
744,Itel Magic X,A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,3.639 Ratings & 2 Reviews,23% off
745,"SAMSUNG Galaxy F22 (Denim Blue, 64 GB)",Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,"4.397,135 Ratings & 9,439 Reviews",23% off
746,"SAMSUNG Galaxy F22 (Denim Black, 64 GB)",64 GB ROM,64 GB ROM,64 GB ROM,64 GB ROM,64 GB ROM,64 GB ROM,"4.397,135 Ratings & 9,439 Reviews",20% off
747,"SAMSUNG Galaxy F22 (Denim Blue, 128 GB)",15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,"4.361,613 Ratings & 5,745 Reviews",20% off
748,Itel MagicX,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,419 Ratings & 1 Reviews,16% off
749,"SAMSUNG Galaxy F22 (Denim Black, 128 GB)",A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,"4.361,613 Ratings & 5,745 Reviews",26% off
750,"POCO C31 (Royal Blue, 64 GB)",Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,"4.31,60,351 Ratings & 10,133 Reviews",3% off
751,"OPPO K10 (Black Carbon, 128 GB)",128 GB ROM,128 GB ROM,128 GB ROM,128 GB ROM,128 GB ROM,128 GB ROM,"4.476,622 Ratings & 5,620 Reviews",26% off
752,Itel Power 410,15.49 cm (6.1 inch) Super Retina XDR Display,15.49 cm (6.1 inch) Super Retina XDR Display,15.49 cm (6.1 inch) Super Retina XDR Display,15.49 cm (6.1 inch) Super Retina XDR Display,15.49 cm (6.1 inch) Super Retina XDR Display,15.49 cm (6.1 inch) Super Retina XDR Display,"4.11,534 Ratings & 149 Reviews",5% off
753,"OPPO K10 (Blue Flame, 128 GB)",12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,"4.476,622 Ratings & 5,620 Reviews",5% off
754,"APPLE iPhone 11 (White, 128 GB)",A15 Bionic Chip Processor,A15 Bionic Chip Processor,A15 Bionic Chip Processor,A15 Bionic Chip Processor,A15 Bionic Chip Processor,A15 Bionic Chip Processor,"4.61,66,952 Ratings & 9,935 Reviews",5% off
755,"APPLE iPhone 13 (Midnight, 128 GB)",Brand Warranty for 1 Year,Brand Warranty for 1 Year,Brand Warranty for 1 Year,Brand Warranty for 1 Year,Brand Warranty for 1 Year,Brand Warranty for 1 Year,"4.71,58,288 Ratings & 8,584 Reviews",5% off
756,Itel Ace 2N,48 MB RAM | 128 MB ROM,48 MB RAM | 128 MB ROM,48 MB RAM | 128 MB ROM,48 MB RAM | 128 MB ROM,48 MB RAM | 128 MB ROM,48 MB RAM | 128 MB ROM,4.1217 Ratings & 12 Reviews,25% off
757,"APPLE iPhone 11 (Black, 128 GB)",6.1 cm (2.4 inch) Display,6.1 cm (2.4 inch) Display,6.1 cm (2.4 inch) Display,6.1 cm (2.4 inch) Display,6.1 cm (2.4 inch) Display,6.1 cm (2.4 inch) Display,"4.61,66,952 Ratings & 9,935 Reviews",5% off
758,"APPLE iPhone 13 (Blue, 128 GB)",0.3MP Rear Camera,0.3MP Rear Camera,0.3MP Rear Camera,0.3MP Rear Camera,0.3MP Rear Camera,0.3MP Rear Camera,"4.71,58,288 Ratings & 8,584 Reviews",29% off
759,"realme C30s (Stripe Blue, 32 GB)",1200 mAh Battery,1200 mAh Battery,1200 mAh Battery,1200 mAh Battery,1200 mAh Battery,1200 mAh Battery,4.4787 Ratings & 32 Reviews,29% off
760,Itel Ace 2,12+1 Month Warranty | 111 Days Replacement Offer (Special Offer),12+1 Month Warranty | 111 Days Replacement Offer (Special Offer),12+1 Month Warranty | 111 Days Replacement Offer (Special Offer),12+1 Month Warranty | 111 Days Replacement Offer (Special Offer),12+1 Month Warranty | 111 Days Replacement Offer (Special Offer),12+1 Month Warranty | 111 Days Replacement Offer (Special Offer),4565 Ratings & 56 Reviews,4% off
761,"APPLE iPhone 13 (Green, 128 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,"4.71,58,288 Ratings & 8,584 Reviews",4% off
762,"vivo T1X (Gravity Black, 64 GB)",16.26 cm (6.4 inch) HD+ Display,16.26 cm (6.4 inch) HD+ Display,16.26 cm (6.4 inch) HD+ Display,16.26 cm (6.4 inch) HD+ Display,16.26 cm (6.4 inch) HD+ Display,16.26 cm (6.4 inch) HD+ Display,"4.554,071 Ratings & 2,896 Reviews",25% off
763,"vivo T1X (Space Blue, 64 GB)",48MP + 8MP + 2MP + 2MP | 13MP Front Camera,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,"4.554,071 Ratings & 2,896 Reviews",16% off
764,"APPLE iPhone 11 (Black, 64 GB)",64 GB ROM,64 GB ROM,64 GB ROM,64 GB ROM,64 GB ROM,64 GB ROM,"4.61,66,952 Ratings & 9,935 Reviews",6% off
765,"APPLE iPhone 11 (White, 64 GB)",15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,"4.61,66,952 Ratings & 9,935 Reviews",6% off
766,"APPLE iPhone 13 (Pink, 128 GB)",12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,"4.71,58,288 Ratings & 8,584 Reviews",5% off
767,Itel Ace 2N,A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,4.1217 Ratings & 12 Reviews,23% off
768,"SAMSUNG Galaxy F22 (Denim Blue, 64 GB)",Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,"4.397,135 Ratings & 9,439 Reviews",23% off
769,"SAMSUNG Galaxy F22 (Denim Black, 64 GB)",64 GB ROM,64 GB ROM,64 GB ROM,64 GB ROM,64 GB ROM,64 GB ROM,"4.397,135 Ratings & 9,439 Reviews",20% off
770,"SAMSUNG Galaxy F22 (Denim Blue, 128 GB)",15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,"4.361,613 Ratings & 5,745 Reviews",20% off
771,Itel Magic X,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,3.639 Ratings & 2 Reviews,16% off
772,"SAMSUNG Galaxy F22 (Denim Black, 128 GB)",A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,"4.361,613 Ratings & 5,745 Reviews",3% off
773,"POCO C31 (Royal Blue, 64 GB)",Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,"4.31,60,351 Ratings & 10,133 Reviews",26% off
774,Itel MagicX,128 GB ROM,128 GB ROM,128 GB ROM,128 GB ROM,128 GB ROM,128 GB ROM,419 Ratings & 1 Reviews,26% off
775,Itel Power 410,15.49 cm (6.1 inch) Super Retina XDR Display,15.49 cm (6.1 inch) Super Retina XDR Display,15.49 cm (6.1 inch) Super Retina XDR Display,15.49 cm (6.1 inch) Super Retina XDR Display,15.49 cm (6.1 inch) Super Retina XDR Display,15.49 cm (6.1 inch) Super Retina XDR Display,"4.11,534 Ratings & 149 Reviews",5% off
776,"OPPO K10 (Blue Flame, 128 GB)",12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,"4.476,622 Ratings & 5,620 Reviews",5% off
777,"OPPO K10 (Black Carbon, 128 GB)",A15 Bionic Chip Processor,A15 Bionic Chip Processor,A15 Bionic Chip Processor,A15 Bionic Chip Processor,A15 Bionic Chip Processor,A15 Bionic Chip Processor,"4.476,622 Ratings & 5,620 Reviews",4% off
778,"APPLE iPhone 11 (White, 128 GB)",Brand Warranty for 1 Year,Brand Warranty for 1 Year,Brand Warranty for 1 Year,Brand Warranty for 1 Year,Brand Warranty for 1 Year,Brand Warranty for 1 Year,"4.61,66,952 Ratings & 9,935 Reviews",5% off
779,"APPLE iPhone 11 (Black, 128 GB)",4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,"4.61,66,952 Ratings & 9,935 Reviews",5% off
780,Itel Ace 2,4.57 cm (1.8 inch) Quarter QVGA Display,4.57 cm (1.8 inch) Quarter QVGA Display,4.57 cm (1.8 inch) Quarter QVGA Display,4.57 cm (1.8 inch) Quarter QVGA Display,4.57 cm (1.8 inch) Quarter QVGA Display,4.57 cm (1.8 inch) Quarter QVGA Display,4565 Ratings & 56 Reviews,25% off
781,Itel IT5026,0MP Front Camera,0MP Front Camera,0MP Front Camera,0MP Front Camera,0MP Front Camera,0MP Front Camera,4970 Ratings & 93 Reviews,29% off
782,"APPLE iPhone 13 (Midnight, 128 GB)",1000 mAh Lithium Ion Battery,1000 mAh Lithium Ion Battery,1000 mAh Lithium Ion Battery,1000 mAh Lithium Ion Battery,1000 mAh Lithium Ion Battery,1000 mAh Lithium Ion Battery,"4.71,58,288 Ratings & 8,584 Reviews",4% off
783,"APPLE iPhone 13 (Blue, 128 GB)",Mediatek MT6261D Processor,Mediatek MT6261D Processor,Mediatek MT6261D Processor,Mediatek MT6261D Processor,Mediatek MT6261D Processor,Mediatek MT6261D Processor,"4.71,58,288 Ratings & 8,584 Reviews",25% off
784,Itel ACE 2N,12+1 Month Warranty on Device and 6 Months on Accessories,12+1 Month Warranty on Device and 6 Months on Accessories,12+1 Month Warranty on Device and 6 Months on Accessories,12+1 Month Warranty on Device and 6 Months on Accessories,12+1 Month Warranty on Device and 6 Months on Accessories,12+1 Month Warranty on Device and 6 Months on Accessories,4.1217 Ratings & 12 Reviews,3% off
785,Itel power 100,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4.1478 Ratings & 34 Reviews,16% off
786,"APPLE iPhone 11 (Black, 64 GB)",64 GB ROM,64 GB ROM,64 GB ROM,64 GB ROM,64 GB ROM,64 GB ROM,"4.61,66,952 Ratings & 9,935 Reviews",6% off
787,"APPLE iPhone 11 (White, 64 GB)",15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,"4.61,66,952 Ratings & 9,935 Reviews",6% off
788,"APPLE iPhone 13 (Pink, 128 GB)",12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,"4.71,58,288 Ratings & 8,584 Reviews",5% off
789,Itel Ace 2N,A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,4.1217 Ratings & 12 Reviews,23% off
790,"SAMSUNG Galaxy F22 (Denim Blue, 64 GB)",Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,"4.397,135 Ratings & 9,439 Reviews",23% off
791,"SAMSUNG Galaxy F22 (Denim Black, 64 GB)",64 GB ROM,64 GB ROM,64 GB ROM,64 GB ROM,64 GB ROM,64 GB ROM,"4.397,135 Ratings & 9,439 Reviews",20% off
792,"SAMSUNG Galaxy F22 (Denim Blue, 128 GB)",15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,"4.361,613 Ratings & 5,745 Reviews",20% off
